feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,,
J-6,"Части речи, выражающие определенность-неопределенность имени",custom,,"Прилагательные, местоимения, числительные и частицы",,
J-7,Способы выражения форм вежливости,listed,J-7-9,"В глагольной группе, в местоимениях и синтаксически",,
J-8,Способы выражения отрицания,custom,,"Отрицательные частицы, отрицательные местоимення и наречия",,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,В предложении допускается множественное отрицание.,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,
K-3,Расположение артикля,not_stated,,,,
K-4,Постановка артикля в именной группе,not_stated,,,,
K-5,"Грамматические категории, выражаемые артиклем",not_stated,,,,
K-6,Количество типов спряжения глаголов,listed,K-6-2,Два типа спряжения,Существует группа разноспрягаемых глаголов.,
K-7,Типы глагольного согласования,listed,K-7-2,Субъектное,,
K-8,"Согласовательные категории, выражаемые причастием",listed,K-8-7,"Род, число и падеж",,
K-9,"Время, выражаемое причастием",listed,K-9-6,Настоящее и прошедшее,,
K-10,"Грамматические категории, выражаемые наречием",listed,K-10-2,Степень сравнения,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-10,"Род, число и падеж",,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,listed,K-12-7,"Рода, числа и падежа",,
K-13,Атрибутивное согласование прилагательных,listed,K-13-1,Всегда присутствует,,
K-14,Типы атрибутивного согласования,listed,K-14-15,"По роду, числу и падежу",,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-7,Падеж и число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-11,"Рода / согласовательного класса, числа и падежа",,
K-17,Средства словоизменения,listed,K-17-10,"Внутренняя флексия, наращение/ усечение основы и аффиксы",,
K-18,Модель словоформы,listed,K-18-1,Префиксально-суффиксальная,,
L-1,Способы словообразования,listed,L-1-20,"Аффиксация, словосложение, конверсия и аббревиация",,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-17,"Префиксы, суффиксы, постфиксы и интерфиксы",,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-3,Аккузативная,,
M-2,Фиксированность порядка слов,listed,M-2-2,Свободный,,
M-3,Основной порядок слов в предложении,listed,M-3-1,SVO,,
M-4,Порядок определения и определяемого,listed,M-4-3,Не фиксирован,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,listed,M-5-1,Возможно,,
N-1,Линейный порядок компонентов в сложном предложении,listed,N-1-3,Не фиксирован,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,
N-3,Оформления сказуемого в придаточном предложении,listed,N-3-1,Финитные формы,,
N-4,Тип построения сложного предложения,listed,N-4-4,Сочинение и подчинение,,
N-5,Тип связи между элементами сложного предложения,custom,,"Союзная, бессоюзная и местоименная",,
_aux,,not_applicable,,,А.К.Зотова / О.И.Романова,
